4/08/2023;4,565.20
5/08/2023;4,566.20
6/08/2023;4,428.30
7/08/2023;4,429.30
8/08/2023;4,407.20
9/08/2023;4,478.30
10/08/2023;4,440.30
11/08/2023;4,343.60
12/08/2023;4,344.60
13/08/2023;4,337.20
14/08/2023;4,338.20
15/08/2023;4,423.10
16/08/2023;4,473.10
17/08/2023;4,501.10
18/08/2023;4,501.10
19/08/2023;4,502.10
20/08/2023;4,487.80
21/08/2023;4,488.80
22/08/2023;4,472.40
23/08/2023;4,441.90
24/08/2023;4,419.00
25/08/2023;4,424.90
26/08/2023;4,425.90
27/08/2023;4,455.70
28/08/2023;4,456.70
29/08/2023;4,457.60
30/08/2023;4,461.20
31/08/2023;4,455.90
